,codecommune,nomcommune
596,02213,CONNIGIS
597,02214,CONTESCOURT
598,02215,CORBENY
599,02216,CORCY
600,02217,COUCY-LE-CHÂTEAU-AUFFRIQUE
601,02218,COUCY-LÈS-EPPES
602,02219,COUCY-LA-VILLE
603,02220,COULONGES-COHAN
604,02221,COUPRU
605,02222,COURBES
606,02223,COURBOIN
607,02224,COURCELLES-SUR-VESLE
608,02225,COURCHAMPS
609,02226,COURMELLES
610,02227,COURMONT
611,02228,COURTEMONT-VARENNES
612,02229,COURTRIZY-ET-FUSSIGNY
613,02230,COUVRELLES
614,02231,COUVRON-ET-AUMENCOURT
615,02232,COYOLLES
616,02233,CRAMAILLE
617,02234,CRAONNE
618,02235,CRAONNELLE
619,02236,CRÉCY-AU-MONT
620,02237,CRÉCY-SUR-SERRE
621,02238,CRÉPY
622,02239,CRÉZANCY
623,02240,CROIX-FONSOMME
624,02241,LA CROIX-SUR-OURCQ
625,02242,CROUTTES-SUR-MARNE
626,02243,CROUY
627,02244,CRUPILLY
628,02245,CUFFIES
629,02246,CUGNY
630,02248,CUIRIEUX
631,02249,CUIRY-HOUSSE
632,02250,CUIRY-LÈS-CHAUDARDES
633,02251,CUIRY-LÈS-IVIERS
634,02252,CUISSY-ET-GENY
635,02253,CUISY-EN-ALMONT
636,02254,CUTRY
637,02255,CYS-LA-COMMUNE
638,02256,DAGNY-LAMBERCY
639,02257,DALLON
640,02258,DAMMARD
641,02259,DAMPLEUX
642,02260,DANIZY
643,02261,DERCY
644,02262,DEUILLET
645,02263,DHUIZEL
646,02264,DIZY-LE-GROS
647,02265,DOHIS
648,02266,DOLIGNON
649,02267,DOMMIERS
650,02268,DOMPTIN
651,02269,DORENGT
652,02270,DOUCHY
653,02271,DRAVEGNY
654,02272,DROIZY
655,02273,DURY
656,02274,EBOULEAU
657,02275,EFFRY
658,02276,ENGLANCOURT
659,02277,EPAGNY
660,02278,EPARCY
661,02279,EPAUX-BÉZU
662,02280,EPIEDS
663,02281,L'EPINE-AUX-BOIS
664,02282,EPPES
665,02283,ERLON
666,02284,ERLOY
667,02286,ESQUÉHÉRIES
668,02287,ESSIGNY-LE-GRAND
669,02288,ESSIGNY-LE-PETIT
670,02289,ESSISES
671,02290,ESSÔMES-SUR-MARNE
672,02291,ESTRÉES
673,02292,ETAMPES-SUR-MARNE
674,02293,ETAVES-ET-BOCQUIAUX
675,02294,ETOUVELLES
676,02295,ETRÉAUPONT
677,02296,ETREILLERS
678,02297,ETRÉPILLY
679,02298,ETREUX
680,02299,EVERGNICOURT
681,02302,FAVEROLLES
682,02303,FAYET
683,02304,LA FÈRE
684,02305,FÈRE-EN-TARDENOIS
685,02306,LA FERTÉ-CHEVRESIS
686,02307,LA FERTÉ-MILON
687,02308,FESMY-LE-SART
688,02309,FESTIEUX
689,02310,FIEULAINE
690,02311,FILAIN
691,02312,LA FLAMENGRIE
692,02313,FLAVIGNY-LE-GRAND-ET-BEAURAIN
693,02315,FLAVY-LE-MARTEL
694,02316,FLEURY
695,02317,FLUQUIÈRES
696,02318,FOLEMBRAY
697,02319,FONSOMME
698,02320,FONTAINE-LÈS-CLERCS
699,02321,FONTAINE-LÈS-VERVINS
700,02322,FONTAINE-NOTRE-DAME
701,02323,FONTAINE-UTERTE
702,02324,FONTENELLE
703,02326,FONTENOY
704,02327,FORESTE
705,02328,FOSSOY
706,02329,FOURDRAIN
707,02330,FRANCILLY-SELENCY
708,02331,FRANQUEVILLE
709,02332,FRESNES-EN-TARDENOIS
710,02333,FRESNES-SOUS-COUCY
711,02334,FRESNOY-LE-GRAND
712,02335,FRESSANCOURT
713,02336,FRIÈRES-FAILLOUÃL
714,02337,FROIDESTRÉES
715,02338,FROIDMONT-COHARTILLE
716,02339,GANDELU
717,02340,GAUCHY
718,02341,GERCY
719,02342,GERGNY
720,02343,GERMAINE
721,02345,GIBERCOURT
722,02346,GIZY
723,02347,GLAND
724,02349,GOUDELANCOURT-LÈS-BERRIEUX
725,02350,GOUDELANCOURT-LÈS-PIERREPONT
726,02351,GOUSSANCOURT
727,02352,GOUY
728,02353,GRANDLUP-ET-FAY
729,02354,GRANDRIEUX
730,02355,GRICOURT
731,02356,GRISOLLES
732,02357,GRONARD
733,02358,GROUGIS
734,02359,GRUGIES
735,02360,VILLENEUVE-SUR-AISNE
736,02361,GUISE
737,02362,GUIVRY
738,02363,GUNY
739,02364,GUYENCOURT
740,02366,HANNAPES
741,02367,HAPPENCOURT
742,02368,HARAMONT
743,02369,HARCIGNY
744,02370,HARGICOURT
745,02371,HARLY
746,02372,HARTENNES-ET-TAUX
747,02373,HARY
748,02374,LEHAUCOURT
749,02375,HAUTEVESNES
750,02376,HAUTEVILLE
751,02377,HAUTION
752,02378,LA HÉRIE
753,02379,LE HÉRIE-LA-VIÉVILLE
754,02380,HINACOURT
755,02381,HIRSON
756,02382,HOLNON
757,02383,HOMBLIÈRES
758,02384,HOURY
759,02385,HOUSSET
760,02386,IRON
761,02387,ITANCOURT
762,02388,IVIERS
763,02389,JAULGONNE
764,02390,JEANCOURT
765,02391,JEANTES
766,02392,JONCOURT
767,02393,JOUAIGNES
768,02395,JUMENCOURT
769,02396,JUMIGNY
770,02397,JUSSY
771,02398,JUVIGNY
772,02399,JUVINCOURT-ET-DAMARY
773,02400,LAFFAUX
774,02401,LAIGNY
775,02402,LANCHY
776,02403,LANDIFAY-ET-BERTAIGNEMONT
777,02404,LANDOUZY-LA-COUR
778,02405,LANDOUZY-LA-VILLE
779,02406,LANDRICOURT
780,02407,LANISCOURT
781,02408,LAON
782,02409,LAPPION
783,02410,LARGNY-SUR-AUTOMNE
784,02411,LATILLY
785,02412,LAUNOY
786,02413,LAVAL-EN-LAONNOIS
787,02414,LAVAQUERESSE
788,02415,LAVERSINE
789,02416,LEMÉ
790,02417,LEMPIRE
791,02418,LERZY
792,02419,LESCHELLE
793,02420,LESDINS
794,02421,LESGES
795,02422,LESQUIELLES-SAINT-GERMAIN
796,02423,LEUILLY-SOUS-COUCY
797,02424,LEURY
798,02425,LEUZE
799,02426,LEVERGIES
800,02427,LHUYS
801,02428,LICY-CLIGNON
802,02429,LIERVAL
803,02430,LIESSE-NOTRE-DAME
804,02431,LIEZ
805,02432,LIMÉ
806,02433,LISLET
807,02435,LOGNY-LÈS-AUBENTON
808,02438,LONGPONT
809,02439,LES SEPTVALLONS
810,02440,LOR
811,02441,LOUÂTRE
812,02442,LOUPEIGNE
813,02443,LUCY-LE-BOCAGE
814,02444,LUGNY
815,02445,LUZOIR
816,02446,LY-FONTAINE
817,02447,MAAST-ET-VIOLAINE
818,02448,MÂCHECOURT
819,02449,MACOGNY
820,02450,MACQUIGNY
821,02451,MAGNY-LA-FOSSE
822,02452,MAISSEMY
823,02453,MAIZY
824,02454,LA MALMAISON
825,02455,MALZY
826,02456,MANICAMP
827,02457,MARCHAIS
828,02458,DHUYS ET MORIN-EN-BRIE
829,02459,MARCY
830,02460,MARCY-SOUS-MARLE
831,02461,MAREST-DAMPCOURT
832,02462,MAREUIL-EN-DÔLE
833,02463,MARFONTAINE
834,02464,MARGIVAL
835,02465,MARIGNY-EN-ORXOIS
836,02466,MARIZY-SAINTE-GENEVIÈVE
837,02467,MARIZY-SAINT-MARD
838,02468,MARLE
839,02469,MARLY-GOMONT
840,02470,MARTIGNY
841,02471,MARTIGNY-COURPIERRE
842,02472,MAUREGNY-EN-HAYE
843,02473,MAYOT
844,02474,MENNESSIS
845,02476,MENNEVRET
846,02477,MERCIN-ET-VAUX
847,02478,MERLIEUX-ET-FOUQUEROLLES
848,02480,MESBRECOURT-RICHECOURT
849,02481,MESNIL-SAINT-LAURENT
850,02482,MEURIVAL
851,02483,MÉZIÈRES-SUR-OISE
852,02484,MÉZY-MOULINS
853,02485,MISSY-AUX-BOIS
854,02486,MISSY-LÈS-PIERREPONT
855,02487,MISSY-SUR-AISNE
856,02488,MOLAIN
857,02489,MOLINCHART
858,02490,MONAMPTEUIL
859,02491,MONCEAU-LE-NEUF-ET-FAUCOUZY
860,02492,MONCEAU-LÈS-LEUPS
861,02493,MONCEAU-LE-WAAST
862,02494,MONCEAU-SUR-OISE
863,02495,MONDREPUIS
864,02496,MONNES
865,02497,MONS-EN-LAONNOIS
866,02498,MONTAIGU
867,02499,MONTBAVIN
868,02500,MONTBREHAIN
869,02501,MONTCHÂLONS
870,02502,MONTCORNET
871,02503,MONT-D'ORIGNY
872,02504,MONTESCOURT-LIZEROLLES
873,02505,MONTFAUCON
874,02506,MONTGOBERT
875,02507,MONTGRU-SAINT-HILAIRE
